run_id,T,Ea,k,pe_init,pe_final,n_steps,final_temp,vol_change_fraction,estimated_bonds,vol_init,vol_final,pe_min,pe_max
0,0.5,2.0,,,,2,0.0,0,0,-0.010985642,-0.00026034016,0.0,0.0
1,0.5,4.0,,,,2,0.0,0,0,-0.011952717,-0.00017190469,0.0,0.0
10,1.5,6.0,,,,2,0.0,0,0,-0.012708587,-0.00030401166,0.0,0.0
11,1.5,8.0,,,,2,0.0,0,0,-0.012267772,-0.00018477264,0.0,0.0
12,2.0,2.0,,,,2,0.0,0,0,-0.01272258,-0.00023705886,0.0,0.0
13,2.0,4.0,,,,2,0.0,0,0,-0.012179147,-0.00024115036,0.0,0.0
14,2.0,6.0,,,,2,0.0,0,0,-0.012084042,-0.00026490189,0.0,0.0
15,2.0,8.0,,,,2,0.0,0,0,-0.012318636,-0.00032529921,0.0,0.0
2,0.5,6.0,,,,2,0.0,0,0,-0.012287012,-0.00028188814,0.0,0.0
3,0.5,8.0,,,,2,0.0,0,0,-0.012021651,-0.00021692557,0.0,0.0
4,1.0,2.0,,,,2,0.0,0,0,-0.012354024,-0.0003053307,0.0,0.0
5,1.0,4.0,,,,2,0.0,0,0,-0.012159834,-0.00024077594,0.0,0.0
6,1.0,6.0,,,,2,0.0,0,0,-0.011542109,-0.00018345008,0.0,0.0
7,1.0,8.0,,,,2,0.0,0,0,-0.011625255,-0.00020900685,0.0,0.0
8,1.5,2.0,,,,2,0.0,0,0,-0.01150308,-0.00028263255,0.0,0.0
9,1.5,4.0,,,,2,0.0,0,0,-0.011609158,-0.00021879274,0.0,0.0
